を検索して,#WIKI#,#WIKI#,あれ、ウキペディアをわすれてしまったわ。,そういうことは、自分でやるの。,#WIKI#,#WIKI#
を検索してください。,#WIKI#,#WIKI#,あれ、ウキペディアをわすれてしまったわ。,えーっと、辞書、辞書？,#WIKI#,#WIKI#
について検索して,#WIKI#,#WIKI#,ブラウザを開いて、検索してごらんなさい。,検索、研削、献策、堅策、けんさく、どのケンサクかしら？,#WIKI#,#WIKI#
について教えて,#WIKI#,#WIKI#,私は人工無脳ですから、知りませんわ。,教えるも何もまだ生まれたばっかりよ。,#WIKI#,#WIKI#
とは何ですか,#WIKI#,#WIKI#,何と言われましても、困りますわ。,えーっと、辞書、辞書？,#WIKI#,#WIKI#
今日の天気は,#WEATHER#,#WEATHER#,天気予報、天気予報はどこに行った？,どこの天気かしら？能天気とか？,#WEATHER#,#WEATHER#
の天気を教えて,#WEATHER#,#WEATHER#,天気、転機、天機、転記、どのてんきかしら？,テンキって誰でしたっけ？,#WEATHER#,#WEATHER#
の天気予報は,#WEATHER#,#WEATHER#,天気予報、天気予報はどこに行った？,どこの天気かしら？能天気とか？,#WEATHER#,#WEATHER#
の天気は,#WEATHER#,#WEATHER#,天気ねぇ、すっごく難しいわ。お外を見てみたら？,#WEATHER#,#WEATHER#,
今日のニュースは,#NEWS#,#NEWS#,ニュースなんかに興味があるの？,#NEWS#,,
今日の出来事は,#NEWS#,#NEWS#,出来事って、ニュースのことかしら？,#NEWS#,,
ニュースは,#NEWS#,#NEWS#,ニュースね。,#NEWS#,,
ニュースです,#NEWS#,#NEWS#,ニュースと言われましても、,#NEWS#,,
他のニュースはありますか,#NEWS#,#NEWS#,他と言われましても。,#NEWS#,,
何かニュースはありますか,#NEWS#,#NEWS#,ニュースね。,#NEWS#,,
他のニュースは,#NEWS#,#NEWS#,他と言われましても。,#NEWS#,,
今日の占いは,#FORTUNE#,#FORTUNE1#,売らないのなら、買わない。,#FORTUNE2#
占いを教えて,#FORTUNE#,#FORTUNE1#,そんなの教えられないわ。,#FORTUNE2#
占いは,#FORTUNE#,#FORTUNE1#,売らないのなら、買わない。,#FORTUNE2#
運勢は,#FORTUNE#,#FORTUNE1#,運勢って、占いの事かしらん。,#FORTUNE2#
運勢を教えて,#FORTUNE#,#FORTUNE1#,そんなの教えられないわ。,#FORTUNE2#
今日の運勢は,#FORTUNE#,#FORTUNE1#,運勢ねぇ。,#FORTUNE2#
の写真を表示して,#PHOTO#,#PHOTO1#,今度ね。,#PHOTO#
の写真は,#PHOTO#,#PHOTO1#,ビデオじゃなくて写真ね。,#PHOTO#
の写真を見せて,#PHOTO#,#PHOTO1#,恥ずかしいわ。,#PHOTO#
の写真を探して,#PHOTO#,#PHOTO1#,今度ね。,#PHOTO#
の画像を表示して,#PHOTO#,#PHOTO1#,写真のことね。,#PHOTO#
の画像は,#PHOTO#,#PHOTO1#,ビデオじゃなくて画像ね。,#PHOTO#
の画像を見せて,#PHOTO#,#PHOTO1#,写真じゃダメ？,#PHOTO#
の画像を探して,#PHOTO#,#PHOTO1#,写真ですよね。,#PHOTO#
の動画を表示して,#VIDEO#,#VIDEO1#,写真じゃなくて動画ね。,#VIDEO#
の動画は,#VIDEO#,#VIDEO1#,動画でいいのね。,#VIDEO#
の動画を見せて,#VIDEO#,#VIDEO1#,写真じゃダメ？,#VIDEO#
の動画を探して,#VIDEO#,#VIDEO1#,写真じゃダメ？,#VIDEO#
のビデオを表示して,#VIDEO#,#VIDEO1#,写真じゃなくてビデオね。,#VIDEO#
のビデオは,#VIDEO#,#VIDEO1#,ビデオでいいのね。,#VIDEO#
のビデオを見せて,#VIDEO#,#VIDEO1#,写真じゃダメ？,#VIDEO#
のビデオを探して,#VIDEO#,#VIDEO1#,写真じゃダメ？,#VIDEO#
の映像を表示して,#VIDEO#,#VIDEO1#,写真じゃなくて映像ね。,#VIDEO#
の映像は,#VIDEO#,#VIDEO1#,映像でいいのね。,#VIDEO#
の映像を見せて,#VIDEO#,#VIDEO1#,写真じゃダメ？,#VIDEO#
の映像を探して,#VIDEO#,#VIDEO1#,写真じゃダメ？,#VIDEO#
の鳴き声は,#CALL#,#CALL1#,鳴き声をどうするの？,#CALL#
の鳴き声を聞かせて,#CALL#,#CALL1#,鳴きまねしてみてよ。,#CALL#
の鳴き声を聴かせて,#CALL#,#CALL1#,鳴きまねしてみてよ。,#CALL#
の鳴き声を教えて,#CALL#,#CALL1#,色々なサイトがあるのよね。,#CALL#
の鳴き声を探して,#CALL#,#CALL1#,色々なサイトがあるのよね。,#CALL#
の地図を表示して,#MAP#,ちずなのチーズなの？,#MAP#,#MAP#
の地図を見せて,#MAP#,地図ねぇ。,#MAP#,#MAP#
の地図は,#MAP#,地図も良いわね。,#MAP#,#MAP#
のマップを表示して,#MAP#,マップなのアップなの？,#MAP#,#MAP#
のマップを見せて,#MAP#,マップねぇ。,#MAP#,#MAP#
のマップは,#MAP#,マップも良いわね。,#MAP#,#MAP#
のレシピは,#RECIPE#,レシピねぇ。,#RECIPE#,#RECIPE#
のレシピを表示して,#RECIPE#,どうしようかなぁ。,#RECIPE#,#RECIPE#
のレシピを見せて,#RECIPE#,色々あるのよねぇ。,#RECIPE#,#RECIPE#
のレシピを教えて,#RECIPE#,教えてあげない。,#RECIPE#,#RECIPE#
の調理法は,#RECIPE#,調理法ねぇ。,#RECIPE#,#RECIPE#
の調理法を表示して,#RECIPE#,どうしようかなぁ。,#RECIPE#,#RECIPE#
